Company,Facility,OrderID,OrderType,Customer,Carrier,Reference,PO,SO,PRO,StoreNo,CreateTime,ScheduleDate,AppointmentTime,InYardDate,PickedDate,ShippedDate,Cancelled,CancelledDate,EntryType,ContainerNo,ContainerType,ContainerQty,TrailerQty,TrailerType,EntryID,RushOrder,LoadNo,LoadType,UsedHours,LabelQty,Item,ItemGrade,ItemType,Title,Supplier,ItemUOM,OrderedQty,PickType,PickQty,ShippedQty,ItemVOL,VolumeUOM,ItemWGT,WeightUOM,ItemAREA,AreaUOM,PalletType,PalletQty
LT,VB,DN-4433,,EFIKEE0001,UKWN,DN-03212018010112281,4500028251,4613533M01,,HB01,2018-03-21 01:09:34,2018-03-21 12:00:00,,2018-04-04 10:01:20,,2018-04-10 13:23:28,false,,EDI,,,0,0,48,,false,LOAD-2156,,0,101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016772,,,EFIKEE0001,EFIKEE0001,EA,1212,,1212,1212,0,cubic footage,0,POUND,0,square footage,other size,0
LT,VB,DN-4434,,EFIKEE0001,UKWN,DN-03212018010126320,4500028254,4613533M01,,HB01,2018-03-21 01:09:34,2018-03-21 12:00:00,,2018-04-04 10:01:20,,2018-04-10 13:23:28,false,,EDI,,,0,0,48,,false,LOAD-2156,,0,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018537,,,EFIKEE0001,EFIKEE0001,EA,624,,624,624,0,cubic footage,0,POUND,0,square footage,other size,0
LT,VB,DN-4435,,EFIKEE0001,UKWN,DN-03212018010123540,4500028249,4613533M01,,HB01,2018-03-21 01:09:35,2018-03-21 12:00:00,,2018-04-04 10:01:20,,2018-04-10 13:23:28,false,,EDI,,,0,0,48,,false,LOAD-2156,,0,101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016505,,,EFIKEE0001,EFIKEE0001,EA,1212,,1212,1212,0,cubic footage,0,POUND,0,square footage,other size,0
LT,VB,DN-4436,,EFIKEE0001,UKWN,DN-0321201801013778,4500028253,4613533M01,,HB01,2018-03-21 01:09:36,2018-03-21 12:00:00,,2018-04-04 10:01:20,,2018-04-10 13:23:28,false,,EDI,,,0,0,48,,false,LOAD-2156,,0,167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018525,,,EFIKEE0001,EFIKEE0001,EA,2004,,2004,2004,0,cubic footage,0,POUND,0,square footage,other size,0
LT,VB,DN-4437,,Test-Generic,Testing 1,test-ref-001,test-po-001,,12345,,2018-03-21 11:05:28,,,2018-03-21 11:36:10,2018-03-21 11:25:40,2018-03-21 11:38:57,false,,Manual,,,0,0,48,,false,LOAD-2158,,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testSN,,,Test-Generic,Test-Generic,EA,4,PIECE_PICK,4,4,0,cubic footage,0,POUND,0,square footage,14X4,0
